"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Unclassified Sphingobacteriales",0,5,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0
"Unclassified Sphingobacteriia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Bacteroidota",0,10,0,0,0,0,2,9,396,2,14,0,5,0,0,1,0,0,0,0,0,0,0,26,1,0,0,0,0
"Helicobacteraceae",0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Campylobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydiaceae",0,166,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Chlamydiota",0,0,0,0,0,0,725,24,135,4,0,0,0,0,0,0,0,0,0,0,0,626,0,49,0,0,0,0,0
"Unclassified Chlorobiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallotenuaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Chloroflexota",0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Aliterellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichocoleusaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Cyanophyceae",16,0,10,0,0,0,12,0,460,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcaceae",4,0,0,0,0,0,7,9,68,48,0,0,7874,0,0,0,0,8,0,0,0,66,0,0,0,0,0,812,0
"Unclassified Deinococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Deinococci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brucellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelatococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacteriaceae",0,0,32,0,0,0,792,2,86,442,26,0,0,0,0,0,0,0,0,0,0,914,0,126,315,0,0,0,1
"Nitrobacteraceae",230,220,202,207,0,65,2143,6459,4196,1336,590,0,274,1,6,58,16,101,1,132,27,1404,0,2162,549,0,37,220,2
"Rhizobiaceae",50,193,103,36,0,0,601,1908,1775,197,154,0,339,0,1,1,1,27,0,0,4,122,0,941,195,0,2,86,0
"Unclassified Hyphomicrobiales",54,164,111,74,0,0,879,1701,2047,508,341,0,1175,0,0,12,0,22,0,9,0,596,0,1938,270,1,0,142,0
"Paracoccaceae",46,159,13,0,0,0,317,1010,1033,421,109,0,43545,0,0,0,0,1,0,0,4,39,0,341,53,0,0,2,0
"Unclassified Rhodobacterales",0,0,0,1,0,0,62,12,4,0,0,0,267,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
"Acetobacteraceae",31,0,21,0,0,0,12,3,52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,2,0,0
"Unclassified Rickettsiales",0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
"Sphingomonadaceae",353,888,1356,376,0,4,3844,22098660,9131782,5938,2984,4,4486,4,28,59,138,514,48,49,66,2172,160,8485625,618,99,126,683,3
"Unclassified Sphingomonadales",13,98,12,18,0,0,258,60813,50559,247,233,1,48,0,1,0,0,0,2,0,0,60,0,48190,12,0,5,3,0
"Unclassified Alphaproteobacteria",4,26,53,1,0,0,366,463670,218895,300,114,0,1120,0,0,1,2,28,0,2,0,420,5,185821,91,5,4,61,0
"Burkholderiaceae",166,1073,291,34,0,35,696,2542,3244,415,359,1,2413,0,4,1,6,63,1,9,56,319,0,1329,134,26,63,287,0
"Comamonadaceae",392,937,406,289,0,12,1611,4990,5368,1045,494,72,552,0,9,45,108,139,11,11,47,524,0,4079,520,156,135,305,9
"Oxalobacteraceae",137,257,107,177,0,2,775,11661,4089,288,267,1,1182,1,4,3,34,84,0,1,1,1940,0,3217,406,48,32,125,1
"Unclassified Burkholderiales",8,82,1,1,0,0,74,832,742,78,24,0,160,0,3,58,2,27,1,0,0,29,0,448,198,1,23,15,0
"Unclassified Betaproteobacteria",1,51,4,5,0,0,52,412,843,15,43,0,164,0,1,0,20,69,1,1,0,8,1,189,8,1,7,5,1
"Colwelliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardiobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromatiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",711,4152,4660,305,2,729,976,867,2285,1035,1200,505,5050268,308,5,257,648,619,482,235,224,729,2,1443,533,378,1464,2652,518
"Erwiniaceae",11,145,213,34,1,1,357,3789,2765,1097,39,1,35228,2,1,2,121,83,1,4,1,219,0,1987,58,4,169,155,1
"Morganellaceae",0,1,1,0,0,0,1,0,9,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Enterobacterales",9,108,13,4,1,0,188,4029,4209,185,73,38,74083,0,2,10,16,37,1,6,0,464,2,2273,154,17,15,183,1
"Yersiniaceae",9,38,226,4,0,0,270,569,646,199,12,4,24971,0,0,0,1,17,2,32,16,196,0,327,54,0,4,18,0
"Moraxellaceae",112,689,133,21,0,0,354,1124,1670,1342,32,1,942,0,10,7,36,205,236,74,325,8423,1,591,268,1,51,42,2
"Alcanivoracaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marinobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonadaceae",528,9626,882,1741,2,239,3938,102251,80883,6703,1346,20,23370,13,427,232,926,4976,803,3597,1406,55009,31,66271,3254,565,2108,5106,62
"Unclassified Pseudomonadales",0,11,2,1,0,0,58,610,383,36,4,0,104,0,0,0,0,11,0,0,0,8,0,306,4,0,2,21,0
"Unclassified Gammaproteobacteria",24,1065,80,8,0,3,112,3907,3659,153,29,1,3425,0,8,14,24,115,3,77,17,296,4,2112,121,1,17,63,0
"Unclassified Vibrionales",0,0,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vibrionaceae",0,1819,0,6,0,0,0,8,160,24,2,0,17,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
"Unclassified Xanthomonadales",1,5,2,0,0,0,24,180,141,3,2,0,23,0,0,0,0,7,0,90,0,8,0,90,0,0,0,5,0
"Xanthomonadaceae",543,3254,723,237,0,16,19217,364974,340749,7999,3294,10,81109,25,296,291,1273,4007,49,1385,412,39326,13,237353,12336,1026,1152,13552,40
"Unclassified Pseudomonadota",95,2703,17,40,0,9,1501,41559,51596,569,69,100,2359,0,4,43,14,88,63,3,4,740,0,43271,1497,118,25,134,6
