"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"S3",207698,207698,207698,207698
"S4",19004686,19004686,19004686,19004686
"Sb1",344,344,344,344
"ATCC25",22590534,22590534,22590534,22590534
"ATCC26",24753192,24753192,24753192,24753192
"ATCC27",19440490,19440490,19440490,19440490
"ATCC28",22243776,22243776,22243776,22243776
"CB1",1218,1218,1218,1218
"Water",100,100,100,100
"18_PCc_Ma_3",24778364,24778364,24778364,24778364
"2_SHR_PCn_R_1",20071694,20071694,20071694,20071694
"2_PCM_R_1",34039296,34039296,34039296,34039296
"2_PCM_R_2",142,142,142,142
"3_SHR_PCn_R1",21572318,21572318,21572318,21572318
"3_PCM_R_1",592,592,592,592
"3_PCM_R_2",44315646,44315646,44315646,44315646
"4_PCM_R_1",39224326,39224326,39224326,39224326
"4_PCM_R_2",29570482,29570482,29570482,29570482
"3_SHR_PCn_R_1",22341468,22341468,22341468,22341468
"3_NTC_R_1",62,62,62,62
"1MSc_R_NR_1",1932,1932,1932,1932
"1MSc_R_NR_2",116,116,116,116
"1MSm_R_NR_1",302,302,302,302
"2_Msc_DCCA_R_1",92,92,92,92
"2_Msc_DCCA_R_2",102,102,102,102
"2_Msc_DCCA_R_3",782,782,782,782
"2_Msc_DCCA_R_4",1542,1542,1542,1542
"3_Msc_DCCA_R_1",348,348,348,348
"3_Msc_DCCA_R_2",130,130,130,130
"3_SHR_PCn_R_2",28630018,28630018,28630018,28630018
"3_Msc_DCCA_R_3",92,92,92,92
"3_Msc_DCCA_R_4",78,78,78,78
"1MSm_R_NR_2",64,64,64,64
"2_Msc_DCMA_R_1",52,52,52,52
"2_Msc_DCMA_R_2",76,76,76,76
"2_Msc_DCMA_R_3",162,162,162,162
"2_Msc_DCMA_R_4",88,88,88,88
"3_Msc_DCMA_R_1",54,54,54,54
"3_Msc_DCMA_R_2",56,56,56,56
"3_Msc_DCMA_R_3",7746,7746,7746,7746
"4_SHR_PCn_R_1",30757300,30757300,30757300,30757300
"3_Msc_DCMA_R_4",56,56,56,56
"2_Asc_NCw_R_1",134,134,134,134
"3_Asc_NCw_R_1",386,386,386,386
"4_Asc_NCw_R_1",616,616,616,616
"3_Asc_SHR_R_1",19437874,19437874,19437874,19437874
"3_Asc_SHR_R_2",40383710,40383710,40383710,40383710
"4_SHR_PCn_R_2",24787200,24787200,24787200,24787200
"3_Asc_SHR_R_3",35408614,35408614,35408614,35408614
"2_Asc_SHR_R_1",38192868,38192868,38192868,38192868
"2_Asc_SHR_R_2",40258648,40258648,40258648,40258648
"2_Asc_SHR_R_3",36205686,36205686,36205686,36205686
"2_Asc_NCm_R_1",244,244,244,244
"3_Asc_NCm_R_1",74,74,74,74
"4_Asc_NCm_R_1",224,224,224,224
"2_Asm_NCm_R_1",38,38,38,38
"3_Asm_NCm_R_1",66,66,66,66
"4_Asm_NCm_R_1",78,78,78,78
"2_SHR_PCc_R_1",31945554,31945554,31945554,31945554
"4_Asm_NCm_R_2",314,314,314,314
"2_Asm_SHR_R_1",50484464,50484464,50484464,50484464
"2_Asm_SHR_R_2",6157340,6157340,6157340,6157340
"2_Asm_SHR_R_3",9154176,9154176,9154176,9154176
"3_Asm_SHR_R_1",42792102,42792102,42792102,42792102
"3_Asm_SHR_R_2",46793440,46793440,46793440,46793440
"3_Asm_SHR_R_3",50336872,50336872,50336872,50336872
"2_Msc_NR_R_1",234,234,234,234
"2_Msc_NR_R_2",154,154,154,154
"3_SHR_PCc_R_1",36327746,36327746,36327746,36327746
"3_Msc_NR_R_2",258,258,258,258
"2_Msm_NR_R_1",40,40,40,40
